Event ID,Event,Date,Score,Result,Sport,Location,Opposing Team
77180,Portland,22-Feb-2008,4 - 2,Win,Baseball,Portland,Portland
77181,Gonzaga,28-Feb-2008,12 - 19,Loss,Baseball,Gonzaga,Gonzaga
77182,Pacific,5-Mar-2008,7 - 5,Win,Baseball,Pacific,Pacific
77183,Pacific,6-Mar-2008,11 - 6,Win,Baseball,Pacific,Pacific
77184,UC Davis,8-Mar-2008,11 - 8,Win,Baseball,,
77185,San Jose St.,6-Mar-2008,3 - 2,Win,Baseball,,San Jose State
77186,Sacramento St.,6-Mar-2008,2 - 16,Loss,Baseball,,
77187,San Diego St.,14-Mar-2008,4 - 5,Loss,Baseball,SDSU,SDSU
77188,San Diego St.,15-Mar-2008,5 - 6,Loss,Baseball,SDSU,SDSU
77189,San Diego St.,15-Mar-2008,6 - 13,Loss,Baseball,SDSU,SDSU
77190,Kansas St.,19-Mar-2008,7 - 1,Win,Baseball,BYU,Kansas State
77191,Kansas St.,19-Mar-2008,6 - 5,Win,Baseball,BYU,Kansas State
77192,Air Force,21-Mar-2008,10 - 6,Win,Baseball,BYU,Air Force
77193,Air Force,22-Mar-2008,12 - 5,Win,Baseball,BYU,Air Force
77194,Air Force,22-Mar-2008,10 - 5,Win,Baseball,BYU,Air Force
77195,No. 25 Oregon St.,24-Mar-2008,7 - 15,Loss,Baseball,BYU,Oregon State
77196,No. 25 Oregon St.,25-Mar-2008,11 - 17,Loss,Baseball,BYU,Oregon State
77197,Oral Roberts,27-Mar-2008,9 - 13,Loss,Baseball,Oral Roberts,Oral Roberts
77198,Oral Roberts,29-Mar-2008,1 - 16,Loss,Baseball,Oral Roberts,Oral Roberts
77199,Oral Roberts,29-Mar-2008,5 - 12,Loss,Baseball,Oral Roberts,Oral Roberts
77200,Southern Utah,2-Apr-2008,6 - 18,Loss,Baseball,Southern Utah,Southern Utah
77201,UNLV,4-Apr-2008,10 - 7,Win,Baseball,UNLV,UNLV
77202,UNLV,5-Apr-2008,9 - 10,Loss,Baseball,UNLV,UNLV
77203,UNLV,5-Apr-2008,21 - 12,Win,Baseball,UNLV,UNLV
77204,Utah,8-Apr-2008,7 - 9,Loss,Baseball,BYU,Utah
77205,Washington,11-Apr-2008,1 - 5,Loss,Baseball,Washington,Washington
77206,Washington,12-Apr-2008,4 - 12,Loss,Baseball,Washington,Washington
77207,Washington,12-Apr-2008,11 - 7,Win,Baseball,Washington,Washington
77208,TCU,18-Apr-2008,5 - 16,Loss,Baseball,BYU,TCU
77209,TCU,19-Apr-2008,4 - 13,Loss,Baseball,BYU,TCU
77210,TCU,19-Apr-2008,7 - 11,Loss,Baseball,BYU,TCU
77211,Northern Colorado,28-Apr-2008,10 - 5,Win,Baseball,,
77212,Northern Colorado,29-Apr-2008,17 - 10,Win,Baseball,,
77213,Air Force,24-Apr-2008,9 - 13,Loss,Baseball,Air Force,Air Force
77214,Air Force,25-Apr-2008,22 - 0,Win,Baseball,Air Force,Air Force
77215,Air Force,26-Apr-2008,10 - 11,Loss,Baseball,Air Force,Air Force
77216,Utah Valley,12-Mar-2008,5 - 4,Win,Baseball,BYU,UVU
77217,New Mexico,2-May-2008,7 - 9,Loss,Baseball,BYU,New Mexico
77218,New Mexico,3-May-2008,13 - 5,Win,Baseball,BYU,New Mexico
77219,New Mexico,3-May-2008,6 - 15,Loss,Baseball,BYU,New Mexico
77220,Utah Valley,6-May-2008,4 - 12,Loss,Baseball,UVU,UVU
77221,San Diego St.,9-May-2008,1 - 8,Loss,Baseball,BYU,SDSU
77222,Washington St.,7-May-2008,7 - 13,Loss,Baseball,BYU,Washington State
77223,San Diego St.,10-May-2008,10 - 4,Win,Baseball,BYU,SDSU
77224,San Diego St.,10-May-2008,5 - 9,Loss,Baseball,BYU,SDSU
77225,Washington St.,8-May-2008,7 - 12,Loss,Baseball,BYU,Washington State
77226,Utah,16-May-2008,3 - 5,Loss,Baseball,Utah,Utah
77227,Utah,17-May-2008,15 - 2,Win,Baseball,Utah,Utah
77228,Utah,17-May-2008,13 - 10,Win,Baseball,Utah,Utah
77229,Ptarmigan Ram Fall Classic,10-Sep-2007,,,W Golf,Colorado State,Colorado State
77230,NCAA Fall Preview,24-Sep-2007,,,W Golf,New Mexico,New Mexico
77231,Edean Ihlanfeldt Invitational,8-Oct-2007,,,W Golf,Washington,Washington
77232,Las Vegas Collegiate Showdown,29-Oct-2007,,,W Golf,UNLV,UNLV
77233,MWC Championships,17-Apr-2008,,,W Golf,,
77234,NCAA Regionals,8-May-2008,,,W Golf,,
77235,William H. Tucker Invitational,14-Sep-2007,,,M Golf,New Mexico,New Mexico
77236,Husky Invitational,1-Oct-2007,,,M Golf,Washington,Washington
77237,Jerry Pate National Collegiate,8-Oct-2007,,,M Golf,Alabama,Alabama
77238,Pacific Invitational,5-Nov-2007,,,M Golf,Pacific,Pacific
77239,PING Cougar Classic,18-Apr-2008,,,M Golf,BYU,
77240,Mountain West Conference Championships,24-Apr-2008,,,M Golf,,
77241,Portland,23-Feb-2008,1 - 12,Loss,Baseball,Portland,Portland
77242,Colorado State,12-Jan-2008,92 - 73,Win,M Basketball,BYU,Colorado State
77243,UNLV,16-Jan-2008,41 - 70,Loss,M Basketball,UNLV,UNLV
77244,Utah,19-Jan-2008,55 - 52,Win,M Basketball,Utah,Utah
77245,San Diego State,24-Jan-2008,59 - 56,Win,M Basketball,BYU,SDSU
77246,New Mexico,26-Jan-2008,83 - 66,Win,M Basketball,BYU,New Mexico
77247,Air Force,31-Jan-2008,69 - 53,Win,M Basketball,Air Force,Air Force
77248,Wyoming,2-Feb-2008,73 - 63,Win,M Basketball,Wyoming,Wyoming
77249,TCU,7-Feb-2008,83 - 72,Win,M Basketball,BYU,TCU
77250,Colorado State,14-Feb-2008,79 - 65,Win,M Basketball,Colorado State,Colorado State
77251,UNLV,17-Feb-2008,74 - 48,Win,M Basketball,BYU,UNLV
77252,Utah,21-Feb-2008,67 - 59,Win,M Basketball,BYU,Utah
77253,San Diego State,24-Feb-2008,65 - 69,Loss,M Basketball,SDSU,SDSU
77254,New Mexico,27-Feb-2008,70 - 69,Win,M Basketball,New Mexico,New Mexico
77255,Air Force,2-Mar-2008,76 - 57,Win,M Basketball,BYU,Air Force
77256,Wyoming,6-Mar-2008,78 - 61,Win,M Basketball,BYU,Wyoming
77257,TCU,9-Mar-2008,61 - 54,Win,M Basketball,TCU,TCU
77259,Cougar Tipoff,25-Oct-2007,0 - 0,Unknown,M Basketball,BYU,BYU
77260,Westminster College (Exh.),31-Oct-2007,53 - 44,Win,W Basketball,BYU,Westminster
77261,Eastern Oregon (Exh.),3-Nov-2007,53 - 41,Win,W Basketball,BYU,
77262,UC Santa Barbara,10-Nov-2007,61 - 50,Win,W Basketball,UC Santa Barbara,UC Santa Barbara
77263,Arkansas State,14-Nov-2007,53 - 54,Loss,W Basketball,,
77264,Fresno State,17-Nov-2007,78 - 59,Win,W Basketball,BYU,Fresno State
77265,Hartford,20-Nov-2007,59 - 70,Loss,W Basketball,BYU,Hartford
77266,Seton Hall,24-Nov-2007,47 - 43,Win,W Basketball,BYU,Seton Hall
77267,Univ. of Connecticut,30-Nov-2007,34 - 80,Loss,W Basketball,UConn,UConn
77268,Sacred Heart,1-Dec-2007,44 - 49,Loss,W Basketball,Sacred Hearts,Sacred Hearts
77269,New Mexico State,5-Dec-2007,52 - 54,Loss,W Basketball,BYU,New Mexico State
77270,Utah Valley State,9-Dec-2007,72 - 52,Win,W Basketball,BYU,UVU
77271,Weber State University,12-Dec-2007,65 - 54,Loss,W Basketball,Weber State,Weber State
77272,UCLA,15-Dec-2007,68 - 58,Win,W Basketball,BYU,UCLA
77273,Utah State University,30-Dec-2007,70 - 64,Win,W Basketball,Utah State,Utah State
77274,Colorado State,12-Jan-2008,60 - 39,Win,W Basketball,Colorado State,Colorado State
77275,UNLV,17-Jan-2008,67 - 55,Win,W Basketball,BYU,UNLV
77276,Utah,20-Jan-2008,49 - 80,Loss,W Basketball,BYU,Utah
77277,San Diego State,24-Jan-2008,39 - 62,Loss,W Basketball,SDSU,SDSU
77278,New Mexico,26-Jan-2008,41 - 38,Win,W Basketball,New Mexico,New Mexico
77279,Air Force Academy,31-Jan-2008,52 - 47,Win,W Basketball,BYU,Air Force
77280,Wyoming,2-Feb-2008,56 - 42,Win,W Basketball,BYU,Wyoming
77281,TCU,6-Feb-2008,54 - 73,Loss,W Basketball,TCU,TCU
77282,Colorado State,14-Feb-2008,59 - 44,Win,W Basketball,BYU,Colorado State
77283,UNLV,17-Feb-2008,68 - 73,Loss,W Basketball,UNLV,UNLV
77284,Utah,20-Feb-2008,45 - 82,Loss,W Basketball,Utah,Utah
77285,San Diego State,23-Feb-2008,46 - 43,Win,W Basketball,BYU,SDSU
77286,New Mexico,27-Feb-2008,45 - 55,Loss,W Basketball,BYU,New Mexico
77287,Air Force Academy,1-Mar-2008,49 - 54,Loss,W Basketball,Air Force,Air Force
77288,Wyoming,6-Mar-2008,34 - 68,Loss,W Basketball,Wyoming,Wyoming
77289,TCU,9-Mar-2008,61 - 72,Loss,W Basketball,BYU,TCU
77294,Aztec Invitational,13-Sep-2008,0 - 0,1st,M Cross Country,SDSU,SDSU
77295,BYU Invitational,20-Sep-2007,,Unknown,W Tennis,BYU,
77296,Regionals,18-Oct-2007,0 - 0,Unknown,W Tennis,,Opp
77297,Hawaii,4-Jan-2008,5 - 2,Win,W Tennis,Hawai'i,Hawai'i
77298,Baylor,5-Jan-2008,0 - 7,Loss,W Tennis,Baylor,Baylor
77299,Utah State,18-Jan-2008,7 - 0,Win,W Tennis,BYU,Utah State
77300,Arkansas,19-Jan-2008,2 - 5,Loss,W Tennis,BYU,Arkansas
77301,Washington State,25-Jan-2008,3 - 4,Loss,W Tennis,Washington State,Washington State
77302,U of Washington,26-Jan-2008,3 - 4,Loss,W Tennis,Washington,Washington
77303,Notre Dame,6-Feb-2008,3 - 4,Loss,W Tennis,Notre Dame,Notre Dame
77304,Boise State,14-Feb-2008,5 - 2,Win,W Tennis,BYU,Boise State
77305,Texas Tech,16-Feb-2008,4 - 3,Win,W Tennis,BYU,Texas Tech
77306,Denver,22-Feb-2008,3 - 4,Loss,W Tennis,BYU,Denver
77307,Kansas State,23-Feb-2008,6 - 1,Win,W Tennis,BYU,Kansas State
77308,Nevada,29-Feb-2008,4 - 3,Win,W Tennis,BYU,Nevada
77309,Wyoming,5-Apr-2008,4 - 2,Win,W Tennis,Wyoming,Wyoming
77310,Colorado State,4-Apr-2008,5 - 2,Win,W Tennis,Colorado State,Colorado State
77311,Air Force,3-Apr-2008,6 - 1,Win,W Tennis,Air Force,Air Force
77312,TCU,11-Apr-2008,1 - 6,Loss,W Tennis,TCU,TCU
77313,New Mexico,12-Apr-2008,3 - 4,Loss,W Tennis,New Mexico,New Mexico
77314,Utah,19-Apr-2008,1 - 6,Loss,W Tennis,Utah,Utah
77315,Mountain West Conference Championships,23-Apr-2008,0 - 0,Unknown,W Tennis,,Opp
77316,U of Kansas,1-Mar-2008,7 - 0,Win,W Tennis,BYU,Kansas
77317,South Carolina,13-Mar-2008,5 - 1,Win,W Tennis,BYU,South Carolina
77318,Cal Berkeley,21-Mar-2008,0 - 7,Loss,W Tennis,Cal,Cal
77319,Fresno State,22-Mar-2008,1 - 6,Loss,W Tennis,Fresno State,Fresno State
77320,UNLV,28-Mar-2008,4 - 0,Win,W Tennis,BYU,UNLV
77321,San Diego State,29-Mar-2008,4 - 1,Win,W Tennis,BYU,SDSU
77322,Utah Fall Tennis Classic,13-Sep-2007,0 - 0,Unknown,M Tennis,BYU,Utah
77323,ITA Region VII Championships,17-Oct-2007,0 - 0,Unknown,M Tennis,,Opp
77324,Weber State: Doubleheader,12-Jan-2008,4 - 3,Win,M Tennis,BYU,Weber State
77325,Eastern Washington,20-Jan-2008,4 - 3,Win,M Tennis,BYU,Eastern Washington
77326,Loyola Marymount,16-Feb-2008,3 - 4,Loss,M Tennis,Loyola Marymount,Loyola Marymount
77327,Stanford,8-Feb-2008,0 - 7,Loss,M Tennis,Stanford,Stanford
77328,Santa Clara,9-Feb-2008,5 - 2,Win,M Tennis,Santa Clara,Santa Clara
77329,University of Denver,24-Feb-2008,3 - 4,Loss,M Tennis,Denver,Denver
77330,Arizona State University,29-Feb-2008,0 - 7,Loss,M Tennis,Arizona State,Arizona State
77331,University of Arizona,1-Mar-2008,2 - 5,Loss,M Tennis,Arizona,Arizona
77332,Cal Poly: Doubleheader,7-Mar-2008,4 - 3,Win,M Tennis,BYU,Cal Poly
77333,Montana State: Doubleheader,8-Mar-2008,6 - 1,Win,M Tennis,BYU,
77334,University of Pacific: Doubleheader,14-Mar-2008,5 - 2,Win,M Tennis,BYU,
77335,University of Portland: Doubleheader,14-Mar-2008,6 - 1,Win,M Tennis,BYU,Portland
77336,Nevada,21-Mar-2008,4 - 2,Win,M Tennis,Nevada,Nevada
77337,UC Irvine,25-Mar-2008,3 - 4,Loss,M Tennis,BYU,
77338,UNLV,27-Mar-2008,3 - 4,Loss,M Tennis,UNLV,UNLV
77339,TCU,28-Mar-2008,1 - 6,Loss,M Tennis,TCU,TCU
77340,Air Force,29-Mar-2008,7 - 0,Win,M Tennis,Air Force,Air Force
77341,San Diego State,10-Apr-2008,4 - 3,Win,M Tennis,BYU,SDSU
77342,New Mexico,11-Apr-2008,0 - 4,Loss,M Tennis,BYU,New Mexico
77343,Utah,12-Apr-2008,3 - 4,Loss,M Tennis,BYU,Utah
77344,Santa Barbara,19-Apr-2008,6 - 1,Win,M Tennis,BYU,UC Santa Barbara
77345,Mountain West Conference Championships,24-Apr-2008,0 - 0,Unknown,M Tennis,,Opp
77346,Southern Utah,7-Feb-2008,4 - 1,Win,Softball,Dixie State,Southern Utah
77347,Northern Colorado,8-Feb-2008,11 - 1,Win,Softball,Dixie State,
77348,Wisconsin,8-Feb-2008,3 - 1,Win,Softball,Dixie State,Wisconsin
77349,Rhode Island,9-Feb-2008,9 - 3,Win,Softball,Dixie State,Rhode Island
77350,Loyola Marymount,9-Feb-2008,10 - 0,Win,Softball,Dixie State,Loyola Marymount
77351,Northwestern State,15-Feb-2008,14 - 0,Win,Softball,UNLV,
77352,No. 9 Oklahoma,15-Feb-2008,5 - 8,Loss,Softball,Neutral,Oklahoma
77353,No. 22 Missouri,15-Feb-2008,4 - 0,Win,Softball,Neutral,Missouri
77354,No. 5 Tennessee,22-Feb-2008,2 - 8,Loss,Softball,Tennessee,Tennessee
77355,Louisiana Monroe,22-Feb-2008,2 - 4,Loss,Softball,Tennessee,
77356,Wagner,22-Feb-2008,10 - 0,Win,Softball,Tennessee,
77357,Virginia,23-Feb-2008,5 - 1,Win,Softball,Tennessee,Virginia
77358,Drake,29-Feb-2008,2 - 1,Win,Softball,Arizona State,Drake
77359,Creighton,29-Feb-2008,1 - 0,Win,Softball,Arizona State,Creighton
77360,Creighton,1-Mar-2008,1 - 10,Loss,Softball,Arizona State,Creighton
77361,No. 2 Arizona State,2-Mar-2008,2 - 8,Loss,Softball,Arizona State,Arizona State
77362,Illinois,7-Mar-2008,10 - 0,Win,Softball,Texas A&M,Illinois
77363,No. 3 Texas A&M,8-Mar-2008,1 - 3,Loss,Softball,Texas A&M,Texas A&M
77364,Illinois,8-Mar-2008,5 - 14,Loss,Softball,Texas A&M,Illinois
77365,No. 22 Louisiana Lafayette,8-Mar-2008,4 - 7,Loss,Softball,Texas A&M,
77366,South Dakota State,17-Mar-2008,8 - 0,Win,Softball,BYU,
77367,Utah State,18-Mar-2008,15 - 4,Win,Softball,BYU,Utah State
77368,Princeton,20-Mar-2008,6 - 1,Win,Softball,Stanford,
77369,East Carolina,21-Mar-2008,7 - 6,Win,Softball,Stanford,ECU
77370,No. 5 Stanford,22-Mar-2008,0 - 2,Loss,Softball,Stanford,Stanford
77371,Wisconsin,23-Mar-2008,4 - 3,Win,Softball,Stanford,Wisconsin
77372,Southern Utah,25-Mar-2008,9 - 3,Win,Softball,Southern Utah,Southern Utah
77373,Southern Utah,25-Mar-2008,19 - 9,Win,Softball,Southern Utah,Southern Utah
77374,New Mexico,4-Apr-2008,1 - 3,Loss,Softball,BYU,New Mexico
77375,New Mexico,4-Apr-2008,9 - 5,Win,Softball,BYU,New Mexico
77376,Colorado State,4-Apr-2008,9 - 2,Win,Softball,BYU,Colorado State
77377,Colorado State,5-Apr-2008,6 - 1,Win,Softball,BYU,Colorado State
77378,Southern Utah,8-Apr-2008,11 - 0,Win,Softball,BYU,Southern Utah
77379,Southern Utah,8-Apr-2008,12 - 0,Win,Softball,BYU,Southern Utah
77380,UNLV,10-Apr-2008,11 - 5,Win,Softball,UNLV,UNLV
77381,UNLV,10-Apr-2008,1 - 5,Loss,Softball,UNLV,UNLV
77382,No. 18 San Diego State,12-Apr-2008,2 - 0,Win,Softball,SDSU,SDSU
77383,No. 18 San Diego State,12-Apr-2008,1 - 0,Win,Softball,SDSU,SDSU
77384,Utah Valley State,16-Apr-2008,22 - 2,Win,Softball,UVU,UVU
77385,Utah,19-Apr-2008,8 - 0,Win,Softball,BYU,Utah
77386,Utah,19-Apr-2008,4 - 6,Loss,Softball,BYU,Utah
77387,Idaho State,22-Apr-2008,8 - 0,Win,Softball,BYU,Idaho State
77388,Idaho State,22-Apr-2008,11 - 0,Win,Softball,BYU,Idaho State
77389,No. 19 San Diego State,24-Apr-2008,7 - 4,Win,Softball,BYU,SDSU
77390,No. 19 San Diego State,25-Apr-2008,0 - 4,Loss,Softball,BYU,SDSU
77391,UNLV,26-Apr-2008,3 - 2,Win,Softball,BYU,UNLV
77392,UNLV,26-Apr-2008,7 - 6,Win,Softball,BYU,UNLV
77393,Northern Colorado,30-Apr-2008,9 - 0,Win,Softball,BYU,
77394,Utah,2-May-2008,5 - 4,Win,Softball,Utah,Utah
77395,Utah,3-May-2008,4 - 3,Loss,Softball,Utah,Utah
77396,Utah Valley State,6-May-2008,6 - 1,Win,Softball,BYU,UVU
77397,Colorado State,8-May-2008,2 - 3,Loss,Softball,Colorado State,Colorado State
77398,Colorado State,8-May-2008,11 - 6,Win,Softball,Colorado State,Colorado State
77399,New Mexico,10-May-2008,4 - 0,Win,Softball,New Mexico,New Mexico
77400,New Mexico,11-May-2008,8 - 4,Win,Softball,New Mexico,New Mexico
77401,UC San Diego,12-Jan-2008,3 - 1,Win,M Volleyball,UCSD,UCSD
77402,UC San Diego,13-Jan-2008,3 - 0,Win,M Volleyball,UCSD,UCSD
77403,No. 10 IPFW,19-Jan-2008,3 - 1,Win,M Volleyball,,
77404,Lewis,20-Jan-2008,3 - 2,Win,M Volleyball,,
77405,No. 14 Loyola-Chicago,22-Jan-2008,3 - 1,Win,M Volleyball,,
77406,Cal-Baptist,26-Jan-2008,3 - 1,Win,M Volleyball,BYU,Cal Baptist
77407,Cal-Baptist,27-Jan-2008,3 - 0,Win,M Volleyball,BYU,Cal Baptist
77408,No. 6 Cal State Northridge,2-Feb-2008,3 - 1,Win,M Volleyball,BYU,CSUN
77409,No. 6 Cal State Northridge,3-Feb-2008,3 - 2,Win,M Volleyball,BYU,CSUN
77410,No. 6 UC Irvine,16-Feb-2008,3 - 2,Win,M Volleyball,,
77411,No. 6 UC Irvine,17-Feb-2008,3 - 1,Win,M Volleyball,,
77412,No. 9 Stanford,23-Feb-2008,3 - 2,Win,M Volleyball,BYU,Stanford
77413,No. 9 Stanford,24-Feb-2008,0 - 3,Loss,M Volleyball,BYU,Stanford
77414,Pacific,1-Mar-2008,3 - 0,Win,M Volleyball,BYU,Pacific
77415,Pacific,2-Mar-2008,3 - 0,Win,M Volleyball,BYU,Pacific
77416,No. 5 Pepperdine,8-Mar-2008,3 - 1,Win,M Volleyball,BYU,Pepperdine
77417,No. 5 Pepperdine,9-Mar-2008,3 - 0,Win,M Volleyball,BYU,Pepperdine
77418,No. 9 UCLA,14-Mar-2008,3 - 0,Win,M Volleyball,UCLA,UCLA
77419,No. 9 UCLA,15-Mar-2008,1 - 3,Loss,M Volleyball,UCLA,UCLA
77420,No. 14 UC Santa Barbara,29-Mar-2008,3 - 2,Win,M Volleyball,BYU,UC Santa Barbara
77421,No. 14 UC Santa Barbara,30-Mar-2008,3 - 0,Win,M Volleyball,BYU,UC Santa Barbara
77422,No. 13 Hawaii,4-Apr-2008,3 - 1,Win,M Volleyball,Hawai'i,Hawai'i
77423,No. 13 Hawaii,5-Apr-2008,3 - 0,Win,M Volleyball,Hawai'i,Hawai'i
77424,No. 10 USC,12-Apr-2008,3 - 0,Win,M Volleyball,BYU,USC
77425,No. 10 USC,13-Apr-2008,3 - 0,Win,M Volleyball,BYU,USC
77426,No. 8 UC Irvine - MPSF Quarterfinals,20-Apr-2008,3 - 1,Win,M Volleyball,BYU,
77427,No. 4 Cal State Northridge - MPSF Semifinals,25-Apr-2008,3 - 0,Win,M Volleyball,CSUN,CSUN
77428,No. 5 Pepperdine - MPSF Championship,27-Apr-2008,2 - 3,Loss,M Volleyball,Pepperdine,Pepperdine
77429,Men\'s Alumni Meet,22-Sep-2007,0 - 0,Unknown,M Swimming & Diving,BYU,BYU
77430,Don Reddish Relays,13-Oct-2007,0 - 0,Unknown,M Swimming & Diving,,Opp
77431,Blue/White,20-Oct-2007,0 - 0,Unknown,M Swimming & Diving,BYU,BYU
77432,Lincoln Shootout,2-Nov-2007,0 - 0,Unknown,M Swimming & Diving,,Opp
77433,"UNLV (W,185-114)",10-Nov-2007,0 - 0,Unknown,M Swimming & Diving,BYU,UNLV
77434,BYU Diving Invitational,9-Nov-2007,,Unknown,M Swimming & Diving,BYU,
77435,"Nike Cup (2nd,1002)",15-Nov-2007,0 - 0,Unknown,M Swimming & Diving,,Opp
77436,Christmas Training,27-Dec-2007,0 - 0,Unknown,M Swimming & Diving,BYU,Opp
77437,"TCU (W,140-95)",10-Jan-2008,0 - 0,Unknown,M Swimming & Diving,BYU,TCU
77438,"University of Washington (W,148-140)",11-Jan-2008,0 - 0,Unknown,M Swimming & Diving,Washington,Washington
77439,"Air Force (W,147.5-93.5)",25-Jan-2008,0 - 0,Unknown,M Swimming & Diving,Air Force,Air Force
77440,US Olympic Training Center,3-Oct-2007,0 - 0,Unknown,W Swimming & Diving,,Opp
77441,Don Reddish Relays,13-Oct-2007,0 - 0,Unknown,W Swimming & Diving,,Opp
77442,"New Mexico (W,185-56)",13-Oct-2007,0 - 0,Unknown,W Swimming & Diving,New Mexico,New Mexico
77443,Blue/White,20-Oct-2007,0 - 0,Unknown,W Swimming & Diving,BYU,BYU
77444,Houston Duals,26-Oct-2007,0 - 0,Unknown,W Swimming & Diving,Houston,Houston
77445,"UNLV (W,173-127)",10-Nov-2007,0 - 0,Unknown,W Swimming & Diving,BYU,UNLV
77446,BYU Diving Invitational,9-Nov-2007,,Unknown,W Swimming & Diving,BYU,
77447,"Nike Cup (2nd,887.5)",15-Nov-2007,0 - 0,Unknown,W Swimming & Diving,,Opp
77448,Texas Invitational (Divers Only),29-Nov-2007,0 - 0,Unknown,W Swimming & Diving,Texas,Texas
77449,Christmas Training,27-Dec-2007,0 - 0,Unknown,W Swimming & Diving,,Opp
77450,"TCU (W,126-100)",10-Jan-2008,0 - 0,Unknown,W Swimming & Diving,BYU,TCU
77451,"SDSU (W,136-96)",12-Jan-2008,0 - 0,Unknown,W Swimming & Diving,BYU,SDSU
77452,"Colorado State (W,158.5-136.5)",18-Jan-2008,0 - 0,Unknown,W Swimming & Diving,BYU,Colorado State
77453,"Air Force (W,155-82)",25-Jan-2008,0 - 0,Unknown,W Swimming & Diving,Air Force,Air Force
77454,"Wyoming (W,155-88)",26-Jan-2008,0 - 0,Unknown,W Swimming & Diving,Wyoming,Wyoming
77455,"Utah (W,190-110)",1-Feb-2008,0 - 0,Unknown,W Swimming & Diving,BYU,Utah
77456,"Mountain West Conference Championships (1st,763)",27-Feb-2008,0 - 0,Unknown,W Swimming & Diving,,Opp
77457,Zone Diving Championship,13-Mar-2008,0 - 0,Unknown,W Swimming & Diving,,Opp
77458,NCAA Championships,20-Mar-2008,0 - 0,Unknown,W Swimming & Diving,,Opp
77459,"Wyoming (W,144-99)",26-Jan-2008,0 - 0,Unknown,M Swimming & Diving,Wyoming,Wyoming
77460,"Utah (W,189-100)",1-Feb-2008,0 - 0,Unknown,M Swimming & Diving,BYU,Utah
77461,"Mountain West Conference Championships (2nd,642.5)",27-Feb-2008,0 - 0,Unknown,M Swimming & Diving,,Opp
77462,Zone Diving,13-Mar-2008,0 - 0,Unknown,M Swimming & Diving,,Opp
77463,NCAA Championship,27-Mar-2008,0 - 0,Unknown,M Swimming & Diving,,Opp
77464,University of Utah Invitational,11-Oct-2007,0 - 0,Unknown,M Tennis,Utah,Utah
77465,So Cal Intercollegiate,31-Oct-2007,0 - 0,Unknown,M Tennis,USC,USC
77466,Utah State: Doubleheader,11-Jan-2008,5 - 2,Win,M Tennis,BYU,Utah State
77467,Utah Valley,7-Mar-2008,1 - 4,Loss,Baseball,,UVU
77468,New Hampshire/Pittsburgh,27-Jan-2008,0 - 0,Unknown,W Gymnastics,,Pitt
77469,Utah State/New Hampshire,16-Feb-2008,194 - 191,1st,W Gymnastics,Utah State,
77470,Utah,9-Feb-2008,194 - 197,2nd,W Gymnastics,BYU,Utah
77471,Oregon State,23-Feb-2008,195 - 197,2nd,W Gymnastics,Oregon State,Oregon State
77472,Southern Utah,8-Mar-2008,195 - 193,1st,W Gymnastics,BYU,Southern Utah
77473,Southeast Missouri State,28-Feb-2008,195 - 194,1st,W Gymnastics,BYU,
77474,Utah State,10-Mar-2008,196 - 194,1st,W Gymnastics,BYU,Utah State
77475,Arizona/CS Fullerton,22-Mar-2008,194 - 196,2nd,W Gymnastics,,Arizona
77476,Utah,29-Mar-2008,194 - 197,2nd,W Gymnastics,Utah,Utah
77477,Southern Utah/CS Fullerton/Boise State,2-Feb-2008,193 - 195,4th,W Gymnastics,,Southern Utah
77478,Southern Utah,18-Mar-2008,195 - 195,Tie,W Gymnastics,Southern Utah,Southern Utah
77479,MWC Indoor Championships,29-Feb-2008,0 - 0,Unknown,M Track & Field,,Opp
77480,NCAA Indoor Championships,14-Mar-2008,0 - 0,Unknown,M Track & Field,,Opp
77481,MWC Outdoor Championships,14-May-2008,0 - 0,Unknown,M Track & Field,,Opp
77482,NCAA Regionals,30-May-2008,0 - 0,Unknown,M Track & Field,,Opp
77483,NCAA Outdoor Championships,11-Jun-2008,0 - 0,Unknown,M Track & Field,,Opp
77484,Gonzaga,29-Feb-2008,6 - 7,Loss,Baseball,Gonzaga,Gonzaga
77485,Gonzaga,29-Feb-2008,5 - 12,Loss,Baseball,Gonzaga,Gonzaga
77486,Gonzaga,1-Mar-2008,13 - 9,Win,Baseball,Gonzaga,Gonzaga
77487,Stanford (Divers Only),15-Feb-2008,0 - 0,Unknown,M Swimming & Diving,BYU,Stanford
77488,Stanford (Divers Only),15-Feb-2008,0 - 0,Unknown,W Swimming & Diving,BYU,Stanford
77489,Southern Utah,16-Apr-2008,10 - 14,Loss,Baseball,BYU,Southern Utah
77490,TCU,7-Nov-2007,2 - 0,Win,W Soccer,BYU,TCU
77493,San Diego State,8-Nov-2007,2 - 0,Win,W Soccer,BYU,SDSU
77494,UNLV,10-Nov-2007,2 - 1,Win,W Soccer,BYU,UNLV
77495,No. 7 Texas,15-Nov-2007,0 - 2,Loss,W Soccer,Texas A&M,Texas
77496,#6 New Mexico,22-Nov-2007,3 - 2,Win,W Volleyball,UNLV,New Mexico
77497,#2 UNLV,23-Nov-2007,2 - 3,Loss,W Volleyball,UNLV,UNLV
77498,Ole Miss/NCAA First Round,30-Nov-2007,3 - 0,Win,W Volleyball,,Ole Miss
77499,No. 6 Washington/NCAA Second Round,2-Dec-2007,3 - 2,Win,W Volleyball,,Washington
