Event ID,Event,Date,Score,Result,Sport,Location,Opposing Team
73271,Notre Dame,1-Apr-2002,0 - 1,Loss,Baseball,Notre Dame,Notre Dame
73272,Utah,5-Apr-2002,5 - 2,Win,Baseball,BYU,Utah
73273,Utah,6-Apr-2002,3 - 17,Loss,Baseball,BYU,Utah
73274,Utah,7-Apr-2002,10 - 9,Win,Baseball,BYU,Utah
73275,New Mexico,11-Apr-2002,13 - 10,Win,Baseball,New Mexico,New Mexico
73276,New Mexico,12-Apr-2002,2 - 12,Loss,Baseball,New Mexico,New Mexico
73277,New Mexico,13-Apr-2002,8 - 7,Win,Baseball,New Mexico,New Mexico
73278,San Diego State,19-Apr-2002,10 - 12,Loss,Baseball,BYU,SDSU
73279,San Diego State,20-Apr-2002,3 - 6,Loss,Baseball,SDSU,SDSU
73280,San Diego State,20-Apr-2002,6 - 7,Loss,Baseball,SDSU,SDSU
73281,Air Force,26-Apr-2002,3 - 2,Win,Baseball,BYU,Air Force
73282,Air Force,27-Apr-2002,8 - 10,Loss,Baseball,BYU,Air Force
73283,UNLV,3-May-2002,6 - 19,Loss,Baseball,BYU,UNLV
73284,UNLV,4-May-2002,7 - 5,Win,Baseball,BYU,UNLV
73285,UNLV,4-May-2002,8 - 6,Win,Baseball,BYU,UNLV
73286,Utah,9-May-2002,19 - 4,Win,Baseball,Utah,Utah
73287,Utah,10-May-2002,6 - 19,Loss,Baseball,Utah,Utah
73288,Utah,11-May-2002,6 - 11,Loss,Baseball,Utah,Utah
73289,Southern Utah,6-May-2002,12 - 3,Win,Baseball,BYU,Southern Utah
73290,Southern Utah,8-May-2002,9 - 4,Win,Baseball,BYU,Southern Utah
73291,New Mexico,17-May-2002,11 - 9,Win,Baseball,BYU,New Mexico
73292,New Mexico,18-May-2002,12 - 5,Win,Baseball,BYU,New Mexico
73293,New Mexico,18-May-2002,13 - 17,Loss,Baseball,BYU,New Mexico
73294,Air Force,23-May-2002,18 - 3,Win,Baseball,BYU,Air Force
73295,USC,31-May-2002,4 - 5,Loss,Baseball,USC,USC
73296,San Diego,18-Nov-2001,70 - 59,Win,M Basketball,San Diego,San Diego
73297,Arizona State,24-Nov-2001,82 - 70,Win,M Basketball,BYU,Arizona State
73298,UC Santa Barbara,29-Nov-2001,58 - 68,Loss,M Basketball,UC Santa Barbara,UC Santa Barbara
73299,Utah State,2-Dec-2001,81 - 90,Loss,M Basketball,Utah State,Utah State
73300,Weber State,6-Dec-2001,65 - 47,Win,M Basketball,BYU,Weber State
73301,Creighton,8-Dec-2001,61 - 52,Win,M Basketball,BYU,Creighton
73302,Fort Lewis,13-Dec-2001,101 - 53,Win,M Basketball,BYU,
73303,Idaho,15-Dec-2001,70 - 48,Win,M Basketball,BYU,Idaho
73304,Stanford,23-Dec-2001,81 - 76,Win,M Basketball,UNLV,Stanford
73305,CS Northridge,28-Dec-2001,84 - 70,Win,M Basketball,BYU,CSUN
73306,Southern Utah,29-Dec-2001,79 - 58,Win,M Basketball,BYU,Southern Utah
73307,San Francisco,3-Jan-2002,65 - 51,Win,M Basketball,BYU,San Francisco
73308,Pepperdine,6-Jan-2002,79 - 82,Loss,M Basketball,Pepperdine,Pepperdine
73309,San Diego State,12-Jan-2002,75 - 64,Win,M Basketball,BYU,SDSU
73310,UNLV,16-Jan-2002,60 - 47,Win,M Basketball,BYU,UNLV
73311,New Mexico,19-Jan-2002,58 - 73,Loss,M Basketball,New Mexico,New Mexico
73312,Air Force,21-Jan-2002,64 - 74,Loss,M Basketball,Air Force,Air Force
73313,Utah,29-Jan-2002,66 - 71,Loss,M Basketball,Utah,Utah
73314,Wyoming,2-Feb-2002,85 - 70,Win,M Basketball,BYU,Wyoming
73315,Colorado State,5-Feb-2002,57 - 52,Win,M Basketball,BYU,Colorado State
73316,UNLV,9-Feb-2002,70 - 73,Loss,M Basketball,UNLV,UNLV
73317,San Diego State,12-Feb-2002,73 - 77,Loss,M Basketball,SDSU,SDSU
73318,New Mexico,16-Feb-2002,68 - 62,Win,M Basketball,BYU,New Mexico
73319,Air Force,19-Feb-2002,67 - 51,Win,M Basketball,BYU,Air Force
73320,Utah,23-Feb-2002,63 - 61,Win,M Basketball,BYU,Utah
73321,Wyoming,1-Mar-2002,60 - 76,Loss,M Basketball,Wyoming,Wyoming
73322,Colorado State,3-Mar-2002,75 - 79,Loss,M Basketball,Colorado State,Colorado State
73323,San Diego State,7-Mar-2002,51 - 62,Loss,M Basketball,UNLV,SDSU
73324,Stanford,12-Jan-2002,1 - 3,Loss,M Volleyball,BYU,Stanford
73325,Stanford,13-Jan-2002,3 - 2,Win,M Volleyball,BYU,Stanford
73326,No. 15 Pacific,19-Jan-2002,3 - 1,Win,M Volleyball,BYU,Pacific
73327,No. 15 Pacific,20-Jan-2002,3 - 1,Win,M Volleyball,BYU,Pacific
73328,No. 12 Southern Cal,26-Jan-2002,3 - 0,Win,M Volleyball,BYU,USC
73329,No. 12 Southern Cal,27-Jan-2002,3 - 0,Win,M Volleyball,BYU,USC
73330,No. 12 Ohio State,2-Feb-2002,3 - 0,Win,M Volleyball,BYU,Ohio State
73331,No. 12 Ohio State,3-Feb-2002,3 - 1,Win,M Volleyball,BYU,Ohio State
73332,No. 14 Long Beach State,7-Feb-2002,0 - 3,Loss,M Volleyball,Long Beach State,Long Beach State
73333,No. 14 Long Beach State,9-Feb-2002,3 - 2,Win,M Volleyball,Long Beach State,Long Beach State
73334,No. 9 UC Irvine,10-Feb-2002,3 - 1,Win,M Volleyball,,
73335,No. 11 UC Irvine,21-Feb-2002,3 - 1,Win,M Volleyball,,
73336,No. 2 UCLA,22-Feb-2002,1 - 3,Loss,M Volleyball,UCLA,UCLA
73337,No. 2 UCLA,24-Feb-2002,3 - 2,Win,M Volleyball,UCLA,UCLA
73338,No. 4 Pepperdine,2-Mar-2002,0 - 3,Loss,M Volleyball,BYU,Pepperdine
73339,No. 4 Pepperdine,3-Mar-2002,0 - 3,Loss,M Volleyball,BYU,Pepperdine
73340,Concordia,9-Mar-2002,3 - 0,Win,M Volleyball,BYU,
73341,No. 12 Lewis,10-Mar-2002,3 - 1,Win,M Volleyball,BYU,
73342,No. 8 Ball State,16-Mar-2002,3 - 0,Win,M Volleyball,BYU,Ball State
73343,No. 8 Ball State,17-Mar-2002,3 - 1,Win,M Volleyball,BYU,Ball State
73344,No. 9 CS Northridge,23-Mar-2002,3 - 0,Win,M Volleyball,BYU,CSUN
73345,No. 9 CS Northridge,24-Mar-2002,3 - 0,Win,M Volleyball,BYU,CSUN
73346,No. 5 UC Santa Barbara,29-Mar-2002,3 - 0,Win,M Volleyball,BYU,UC Santa Barbara
73347,No. 5 UC Santa Barbara,30-Mar-2002,3 - 0,Win,M Volleyball,BYU,UC Santa Barbara
73348,UC San Diego,10-Apr-2002,3 - 1,Win,M Volleyball,UCSD,UCSD
73349,UC San Diego,11-Apr-2002,3 - 0,Win,M Volleyball,UCSD,UCSD
73350,No. 2 Hawai'i,13-Apr-2002,0 - 3,Loss,M Volleyball,Hawai'i,Hawai'i
73351,No. 2 Hawai'i,14-Apr-2002,3 - 0,Win,M Volleyball,Hawai'i,Hawai'i
73352,No. 6 Stanford,21-Apr-2002,3 - 2,Win,M Volleyball,BYU,Stanford
73353,No. 1 Pepperdine,25-Apr-2002,1 - 3,Loss,M Volleyball,Pepperdine,Pepperdine
73354,Washington,1-Sep-2001,3 - 0,Win,W Volleyball,Washington,Washington
73355,Texas,1-Sep-2001,2 - 3,Loss,W Volleyball,Washington,Texas
73356,Purdue,1-Sep-2001,3 - 1,Win,W Volleyball,Washington,Purdue
73357,Rhode Island,3-Sep-2001,3 - 0,Win,W Volleyball,BYU,Rhode Island
73358,Colorado,7-Sep-2001,3 - 2,Win,W Volleyball,BYU,Colorado
73359,SW Missouri State,9-Sep-2001,3 - 0,Win,W Volleyball,BYU,Missouri State
73360,Loyola Marymount,14-Sep-2001,0 - 0,,W Volleyball,Loyola Marymount,Loyola Marymount
73361,Hawai'i,16-Sep-2001,0 - 0,Unknown,W Volleyball,Hawai'i,Hawai'i
73362,Utah,21-Sep-2001,3 - 0,Win,W Volleyball,BYU,Utah
73363,UC Santa Barbara,27-Sep-2001,3 - 0,Win,W Volleyball,BYU,UC Santa Barbara
73364,New Mexico,29-Sep-2001,3 - 0,Win,W Volleyball,BYU,New Mexico
73365,Air Force,30-Sep-2001,3 - 0,Win,W Volleyball,BYU,Air Force
73366,Wyoming,6-Oct-2001,3 - 0,Win,W Volleyball,Wyoming,Wyoming
73367,Colorado State,7-Oct-2001,0 - 3,Loss,W Volleyball,Colorado State,Colorado State
73368,San Diego State,13-Oct-2001,3 - 1,Win,W Volleyball,BYU,SDSU
73369,UNLV,14-Oct-2001,3 - 0,Win,W Volleyball,BYU,UNLV
73370,Utah State,17-Oct-2001,0 - 3,Loss,W Volleyball,BYU,Utah State
73371,Utah,20-Oct-2001,2 - 3,Loss,W Volleyball,Utah,Utah
